Date,sentiment,news_count,sentiment_std,sentiment_pos_ratio,sentiment_neg_ratio
2023-01-02,0.0,1,0.0,0.0,0.0
2023-01-03,0.41080000000000005,3,0.08892041385418764,1.0,0.0
2023-01-04,-0.219525,8,0.24270671160300214,0.125,0.625
2023-01-05,-0.034933333333333344,6,0.33005565389289526,0.3333333333333333,0.3333333333333333
2023-01-06,-0.6808,1,0.0,0.0,1.0
2023-01-08,0.21153333333333335,3,0.30200624717600355,0.6666666666666666,0.0
2023-01-09,0.0,1,0.0,0.0,0.0
2023-01-10,0.0683,4,0.1366,0.25,0.0
2023-01-11,0.43406666666666666,3,0.39647902004183444,1.0,0.0
2023-01-12,0.300975,4,0.37426667297529975,0.75,0.0
2023-01-15,0.0,1,0.0,0.0,0.0
2023-01-16,0.3612,1,0.0,1.0,0.0
2023-01-17,0.05382,5,0.2975922411622991,0.2,0.2
2023-01-18,0.13943333333333333,6,0.21900715665627613,0.3333333333333333,0.0
2023-01-19,0.2208625,8,0.247963084450085,0.5,0.0
2023-01-20,0.1724,5,0.24729135650078837,0.6,0.2
2023-01-21,0.0,1,0.0,0.0,0.0
2023-01-23,-0.12351999999999999,5,0.2054436589432733,0.2,0.6
2023-01-24,0.2941125,8,0.26613652477897237,0.625,0.0
2023-01-25,0.12418,5,0.3968611558215291,0.6,0.2
2023-01-26,-0.15728333333333333,6,0.2741460225257092,0.0,0.3333333333333333
2023-01-27,0.22950000000000004,3,0.2591814229453956,0.6666666666666666,0.0
2023-01-30,-0.0031571428571428584,7,0.21033855136535526,0.14285714285714285,0.2857142857142857
2023-01-31,0.28456,5,0.30975994415030483,0.6,0.0
2023-02-01,0.2599,7,0.4834453640278289,0.5714285714285714,0.14285714285714285
2023-02-02,-0.023671428571428565,7,0.25523390392791806,0.42857142857142855,0.14285714285714285
2023-02-03,-0.09106666666666667,3,0.15773209354260576,0.0,0.3333333333333333
2023-02-04,0.0,1,0.0,0.0,0.0
2023-02-05,-0.03423333333333333,3,0.05929387264577457,0.0,0.3333333333333333
2023-02-06,0.19591666666666666,6,0.3174977569474573,0.3333333333333333,0.0
2023-02-07,0.064,2,0.09050966799187808,0.5,0.0
2023-02-08,0.01347777777777778,9,0.2683492862752656,0.4444444444444444,0.3333333333333333
2023-02-09,0.26335,2,0.37243314165095454,0.5,0.0
2023-02-10,0.14049999999999999,3,0.24335313846342727,0.3333333333333333,0.0
2023-02-13,0.1998,3,0.3460637513522617,0.3333333333333333,0.0
2023-02-14,0.13165000000000002,6,0.21333676429532722,0.3333333333333333,0.0
2023-02-15,0.0,2,0.0,0.0,0.0
2023-02-16,0.3652333333333333,3,0.3285976922215574,0.6666666666666666,0.0
2023-02-17,0.1779,1,0.0,1.0,0.0
2023-02-18,0.0,1,0.0,0.0,0.0
2023-02-19,0.0,1,0.0,0.0,0.0
2023-02-20,0.0,1,0.0,0.0,0.0
2023-02-21,0.25529999999999997,5,0.278496166939511,0.6,0.0
2023-02-22,0.25715,6,0.24249117715908758,0.6666666666666666,0.0
2023-02-23,0.17045000000000002,2,0.6596599161689302,0.5,0.5
2023-02-24,-0.21680000000000002,3,0.44578345640007777,0.3333333333333333,0.6666666666666666
2023-02-25,0.16310000000000002,2,0.6170213772633814,0.5,0.5
2023-02-27,0.20424000000000003,5,0.2796671378621378,0.4,0.0
2023-02-28,0.21684,5,0.3728708529772742,0.6,0.4
2023-03-01,0.2162,4,0.1795986451322318,1.0,0.0
2023-03-02,0.05243333333333335,3,0.3870641591950013,0.6666666666666666,0.3333333333333333
2023-03-03,0.3485,5,0.23473133578625582,1.0,0.0
2023-03-06,0.0,1,0.0,0.0,0.0
2023-03-07,0.07200000000000001,4,0.28758735484486564,0.25,0.5
2023-03-08,0.18005,4,0.25564668978885685,0.5,0.0
2023-03-09,0.07471249999999999,8,0.38618943699951197,0.25,0.25
2023-03-10,0.12074,5,0.2699828476033246,0.2,0.0
2023-03-12,0.0,1,0.0,0.0,0.0
2023-03-13,0.16463333333333333,3,0.2851532979527562,0.3333333333333333,0.0
2023-03-14,0.31047500000000006,4,0.4534201317027436,0.75,0.25
2023-03-15,0.16463333333333333,3,0.2851532979527562,0.3333333333333333,0.0
2023-03-16,0.5307999999999999,2,0.1822921281898919,1.0,0.0
2023-03-18,0.1779,1,0.0,1.0,0.0
2023-03-20,-0.026883333333333342,6,0.26303399336714384,0.16666666666666666,0.3333333333333333
2023-03-21,0.0,2,0.0,0.0,0.0
2023-03-23,0.0,2,0.0,0.0,0.0
2023-03-24,0.47802,5,0.27585172103867683,1.0,0.0
2023-03-26,-0.3412,1,0.0,0.0,1.0
2023-03-27,0.0,1,0.0,0.0,0.0
2023-03-28,0.10827272727272726,11,0.2744752123267567,0.2727272727272727,0.09090909090909091
2023-03-29,0.296,1,0.0,1.0,0.0
2023-03-30,-0.264225,4,0.34126932057638387,0.0,0.75
2023-03-31,0.08937500000000001,4,0.28994275728150204,0.25,0.25
2023-04-03,0.055999999999999994,3,0.217476435505091,0.3333333333333333,0.3333333333333333
2023-04-04,0.26335,2,0.37243314165095454,0.5,0.0
2023-04-05,0.0,1,0.0,0.0,0.0
2023-04-06,-0.119175,4,0.23835,0.0,0.25
2023-04-09,0.5386500000000001,2,0.13894648250315655,1.0,0.0
2023-04-10,0.0772,1,0.0,1.0,0.0
2023-04-11,0.0593,3,0.10271061288883443,0.3333333333333333,0.0
2023-04-12,0.0,1,0.0,0.0,0.0
2023-04-13,0.1360714285714286,7,0.27379120824870495,0.42857142857142855,0.14285714285714285
2023-04-14,0.32735,2,0.28192347365907644,1.0,0.0
2023-04-17,0.0,1,0.0,0.0,0.0
2023-04-18,0.31875,2,0.3778071531879723,1.0,0.0
2023-04-19,0.23835,2,0.33707780259162723,0.5,0.0
2023-04-20,-0.21075000000000002,2,0.5496341010163034,0.5,0.5
2023-04-21,-0.21906666666666666,3,0.19249782682756017,0.0,0.6666666666666666
2023-04-23,0.0,1,0.0,0.0,0.0
2023-04-24,0.2202,2,0.31140982643455556,0.5,0.0
2023-04-25,0.2908,2,0.5922726399218522,0.5,0.5
2023-04-26,0.6369,1,0.0,1.0,0.0
2023-04-27,-0.12925,2,0.43437569568289613,0.5,0.5
2023-04-28,-0.0772,1,0.0,0.0,1.0
2023-04-30,0.34,1,0.0,1.0,0.0
2023-05-01,0.0,1,0.0,0.0,0.0
2023-05-02,0.2553,2,0.36104872247385117,0.5,0.0
2023-05-03,-0.07950000000000002,2,0.7352496310777722,0.5,0.5
2023-05-04,0.26335,2,0.37243314165095454,0.5,0.0
2023-05-05,0.142775,4,0.236895368957127,0.5,0.0
2023-05-06,0.0,1,0.0,0.0,0.0
2023-05-08,0.07479999999999999,4,0.22337617002118496,0.25,0.25
2023-05-10,0.0,1,0.0,0.0,0.0
2023-05-11,0.08895,2,0.1257942963730868,0.5,0.0
2023-05-12,0.18416666666666667,3,0.29692292490364114,0.6666666666666666,0.0
2023-05-15,-0.19353333333333333,3,0.05675353146134021,0.0,1.0
2023-05-16,0.5106,1,0.0,1.0,0.0
2023-05-18,0.0,1,0.0,0.0,0.0
2023-05-19,0.61155,2,0.09793428919433676,1.0,0.0
2023-05-21,0.21545,2,0.7232995264757194,0.5,0.5
2023-05-23,0.0,3,0.0,0.0,0.0
2023-05-24,-0.16993333333333335,3,0.19432347602215572,0.0,0.6666666666666666
2023-05-25,0.20553333333333335,3,0.35599417598232325,0.3333333333333333,0.0
2023-05-26,0.0,1,0.0,0.0,0.0
2023-05-30,0.0,1,0.0,0.0,0.0
2023-05-31,0.08895,2,0.1257942963730868,0.5,0.0
2023-06-01,0.39185,2,0.01421284630184961,1.0,0.0
2023-06-02,0.0,1,0.0,0.0,0.0
2023-06-05,0.23013333333333333,3,0.22087112381054552,0.6666666666666666,0.0
2023-06-06,0.04498333333333333,6,0.34834564109037836,0.3333333333333333,0.16666666666666666
2023-06-07,0.0,4,0.0,0.0,0.0
2023-06-08,0.3182,1,0.0,1.0,0.0
2023-06-09,-0.0516,1,0.0,0.0,1.0
2023-06-12,0.13958333333333334,6,0.18669213606005655,0.5,0.0
2023-06-13,-0.10846,5,0.2425239328396272,0.0,0.2
2023-06-14,-0.10606666666666666,3,0.18371285565613893,0.0,0.3333333333333333
