date,headlines,sentiment
2023-01-02,What is TSMC?,0.0
2023-01-03,Apple’s market value drops below $2 trillion,0.34
2023-01-03,Amazon's AWS Growth Strategy Probably More Sustainable Than Oracle's (AMZN),0.3818
2023-01-03,"First Trust Dow Jones Internet Index Fund (FDN) Stock Price, Holdings, Dividend Yield",0.5106
2023-01-04,"Amazon to slash more than 18,000 jobs in an escalation of cuts",-0.3818
2023-01-04,Salesforce to cut 10% of workforce in latest tech layoffs,-0.2732
2023-01-04,Distributed Cloud Global Market Report 2022: Ukraine-Russia War Impact,-0.5994
2023-01-04,News | Industrial Project Completions and Easing Demand Drive Up Vacancy Rate,0.128
2023-01-04,Private Wireless Partnership Part of the Perks at JBG SMITH’s National Landing,0.0
2023-01-04,2023 brings more jobs cuts for Mass. tech workers,-0.3566
2023-01-04,Salesforce to lay off 10% of workforce to cut costs amid economic downturn,-0.2732
2023-01-04,Lionsgate International SVP Marc Lorber To Exit,0.0
2023-01-05,"Amazon to cut 18,000 jobs as layoffs expand in tech sector",0.2263
2023-01-05,PurpleUrchin Bypasses CAPTCHA and Steals Cloud Platform Resources,-0.5106
2023-01-05,Opendoor: The Future 'Amazon Of Real Estate' At A Compelling Valuation,0.3818
2023-01-05,"Opinion: Amazon cuts jobs to reset tech giant after monster growth in the pandemic, but investors still worried",-0.3071
2023-01-05,Cisco Systems to eliminate 80 jobs in San Francisco,0.0
2023-01-05,Apple brings AI narration to audiobooks,0.0
2023-01-06,Software company Pegasystems to lay off 4% workforce amid recession fears,-0.6808
2023-01-08,The Dream of Portland Is Alive in Japan,0.5574
2023-01-08,"8 Secrets About Shopping on QVC You Need to Know, According to Experts",0.0
2023-01-08,You might actually want a TiVo TV someday,0.0772
2023-01-09,CVS eyes next-generation health clinics after Amazon’s move for One Medical,0.0
2023-01-10,Hot warehouse market shows signs of cooldown,0.0
2023-01-10,10 Data Center Companies You Need To Watch In 2023,0.0
2023-01-10,Kroger launches health marketing campaign,0.0
2023-01-10,Amazon Expands Prime Delivery Service to More Web Stores,0.2732
2023-01-11,Helping Construction Firms Gain Useful Insights from Their Data,0.8176
2023-01-11,Stocks waver as traders eye US inflation and interest rates,0.4588
2023-01-11,Ramstad: A Minnesota company lost $1B in value as investors fled tech. Here's what it did next.,0.0258
2023-01-12,Amazon Fashion Launches Collaboration With Rent the Runway,0.1779
2023-01-12,Skagen Falster Gen 6's long-awaited Wear OS 3 update is here,0.0
2023-01-12,Amazon workers' union victory upheld by U.S. labor board director,0.1779
2023-01-12,Will Best Buy customers be okay with its rewards program changes?,0.8481
2023-01-15,Macy's CEO is 'cautious' about consumer spending after seeing dip in self purchases,0.0
2023-01-16,"From Apple To Amazon And Toyota, Here Are The Top 10 Biggest Companies In The World",0.3612
2023-01-17,Ryder layoffs: 800 jobs to be cut at Applied Materials site,-0.2732
2023-01-17,SoundHound axes nearly 50% of staff less than a year after IPO,0.0
2023-01-17,"How Kroger, Whole Foods are upgrading labor management",0.0
2023-01-17,Netflix set for slowest revenue growth as ad plan struggles to gain traction,0.5423
2023-01-17,"Costco Wholesale Corp. stock rises Tuesday, outperforms market",0.0
2023-01-18,U.S. agency says Amazon.com exposed workers to safety hazards,0.3612
2023-01-18,Temu Review: What Is Temu and Why Is It Suddenly America’s Most Popular App?,0.4754
2023-01-18,"When data moves, money moves: Western Union analyzes cloud data technologies",0.0
2023-01-18,40-acre data center planned for former Westside Atlanta rail yard,0.0
2023-01-18,"Microsoft to shed 10,000 jobs, adding to glut of tech layoffs",0.0
2023-01-18,"GroupM confirms layoffs of staffers across N. America, EMEA regions",0.0
2023-01-19,Walmart Plays Catch-Up As Amazon Pulls Further Ahead Of Its E-Commerce Competitors,0.4019
2023-01-19,Amazon ends its charity donation program following other cost-cutting efforts,0.5423
2023-01-19,"Lowe's Cos. stock falls Thursday, underperforms market",0.0
2023-01-19,Global X S&p 500 Covered Call Etf Share Price,0.296
2023-01-19,DAZN and Amazon strike global sports streaming agreement,0.5267
2023-01-19,Bitcoin Could Be on Precipice of New Bull Market,0.0
2023-01-19,Where to now for Alibaba in the post-Jack Ma era?,0.0
2023-01-19,A Dash of Modernity!,0.0
